Бзд,14-р хороо sunday plaza-н зүүн хойно морнинг стар хотхонд 1 өрөө	1 өрөө	75000000.0	30.0 м²	2021	Байхгүй	1 тагттай	Баянзүрх	16	16
Capital town	3 өрөө	429000000.0	102.0 м²	2016	Байгаа	2 тагттай	Баянгол	12	11
2 өрөө	2 өрөө	95000000.0	60.75 м²	2018	Байхгүй	1 тагттай	Хан-Уул	14	8
Хотын төв 2 өрөө	2 өрөө	115000000.0	77.0 м²	2010	Байхгүй	1 тагттай	Сүхбаатар	12	7
19 хороолол ахуйн үйлчилгээний ард 3 өрөө байр	3 өрөө	205000000.0	66.0 м²	1989	Байхгүй	1 тагттай	Хан-Уул	5	4
Зэндмэнэ эрдэнэ хотхоняармагт 2 өрөө 46.77м2	2 өрөө	230000000.0	46.77 м²	2023	Байхгүй	1 тагттай	Хан-Уул	16	5
Dul hothond 2 uruu	2 өрөө	145754000.0	64.0 м²	2021	Байгаа	1 тагттай	Хан-Уул	6	3
Parkside хотхонд 2 өрөө	2 өрөө	156000000.0	52.0 м²	2016	Байхгүй	1 тагттай	Баянзүрх	16	8
Бгд 35м2 1өрөө байр	1 өрөө	75000000.0	35.0 м²	2015	Байхгүй	Тагтгүй	Баянгол	11	9
Belmonte -1 d 115,47 m2 4 oroo	4 өрөө	450000000.0	115.47 м²	2021	Байхгүй	1 тагттай	Хан-Уул	11	10
Цэцэрлэгт хүрээлэнгийн хажууд санрайз таунд 3 өрөө байр 90m2	3 өрөө	247500000.0	90.0 м²	2014	Байгаа	1 тагттай	Баянзүрх	15	13
32.85 мкв нарантуулын зүүн талд, 2 өрөө	1 өрөө	128115000.0	32.85 м²	2011	Байгаа	Тагтгүй	Баянзүрх	6	1
Нисэх буян ухаа-2 хороололд 68м2 3 өрөө байр	3 өрөө	220000000.0	68.59 м²	2018	Байгаа	1 тагттай	Хан-Уул	9	4
Оргил шилтгээн хотхонд 5 өрөө байр	5+ өрөө	380000000.0	136.0 м²	2013	Байгаа	2 тагттай	Хан-Уул	12	6
Зайсан royal green villa хотхонд тансаг зэрэглэлийн 5 өрөө байрыг 2 гражтай нь	4 өрөө	686000000.0	270.0 м²	2010	Байгаа	2 тагттай	Хан-Уул	6	5
Гэмтлийн эмнэлэг хойно 1 өрөө	1 өрөө	74000000.0	37.0 м²	2022	Байхгүй	1 тагттай	Баянгол	17	2
Зайсанд 3 өрөө байр	3 өрөө	6240000000.0	80.0 м²	2023	Байхгүй	1 тагттай	Хан-Уул	6	4
Таван шар well mart 2 өрөө 59м2	2 өрөө	230000000.0	59.1 м²	2014	Байхгүй	1 тагттай	Сонгино Хайрхан	12	9
Яармаг гарден сити 4 өрөө байр	4 өрөө	535000000.0	107.0 м²	2018	Байгаа	1 тагттай	Хан-Уул	5	5
Гэмтлийн хойно шинэ хороолол-д 3 өрөө	3 өрөө	169000000.0	61.3 м²	2022	Байхгүй	1 тагттай	Баянгол	15	3
River view хотхонд 2 өрөө байр	2 өрөө	135000000.0	50.0 м²	2023	Байхгүй	1 тагттай	Хан-Уул	12	9
13-р хороолол 3 өндөрт 2 өрөө	2 өрөө	145754000.0	86.4 м²	1989	Байхгүй	1 тагттай	Баянзүрх	9	6
Hunnu tower-д 3 өрөө байр	3 өрөө	193000000.0	82.0 м²	2022	Байхгүй	1 тагттай	Хан-Уул	16	8
Нарны хороололд 3 өрөө байр	3 өрөө	205000000.0	105.81 м²	2014	Байхгүй	1 тагттай	Баянгол	12	4
Gerlug vista 2 oroo	2 өрөө	250000000.0	60.0 м²	2023	Байгаа	1 тагттай	Хан-Уул	23	10
21-р хороололд 38,8 мкв 2 өрөө	2 өрөө	145754000.0	38.8 м²	2012	Байхгүй	1 тагттай	Сонгино Хайрхан	10	5
Кореа тоун 2-д 2 өрөө	2 өрөө	99000000.0	54.0 м²	2014	Байхгүй	1 тагттай	Баянгол	10	2
2 өрөө байр	2 өрөө	142300000.0	49.45 м²	2022	Байхгүй	1 тагттай	Сүхбаатар	15	7
Худ 17хороо удирдлагын академи цэцэг хотхонд 3 өрөө хупалдана.	3 өрөө	8743800000.0	112.1 м²	2013	Байхгүй	2 тагттай	Хан-Уул	10	5
Бгд 10-р хороолол 61м2 2 өрөө 1давхарт баруун 2 хойшоо 1 цонхтой гаражтай	2 өрөө	99000000.0	61.0 м²	2016	Байгаа	1 тагттай	Баянгол	5	1
Дөлгөөн нуурт 2 өрөө байр	2 өрөө	99000000.0	51.5 м²	2022	Байхгүй	1 тагттай	Сүхбаатар	16	5
2 өрөө байр	2 өрөө	160000000.0	49.61 м²	2022	Байхгүй	1 тагттай	Сүхбаатар	16	8
